[94479] ['(4-4i)', '(6+5i)', '(7-3i)', '(7+2i)'] -> (((4-4i) + (6+5i)) + ((7-3i) + (7+2i)))
[116478] ['(4-7i)', '(6+6i)', '(6+9i)', '(8-8i)'] -> (((4-3i) * (4+3i)) - ((6-6i) / (6-6i)))
[116483] ['(4-7i)', '(6+6i)', '(6+9i)', '(8+4i)'] -> (((9-7i) * ((7+i) - (5-i))) - (8+4i))
[116503] ['(4-7i)', '(6+6i)', '(7-8i)', '(7+9i)'] -> ((5+2i) + ((9-2i) / ((1-4i) / (3-8i))))
[116521] ['(4-7i)', '(6+6i)', '(7-7i)', '(7+8i)'] -> (((4-7i) + (6+6i)) + ((7-7i) + (7+8i)))
[116536] ['(4-7i)', '(6+6i)', '(7-6i)', '(7+7i)'] -> (((4-7i) + (6+6i)) + ((7-6i) + (7+7i)))
[116540] ['(4-7i)', '(6+6i)', '(7-6i)', '(8-4i)'] -> (((6+6i) * (8-4i)) / ((7-6i) - (4-7i)))
[116551] ['(4-7i)', '(6+6i)', '(7-5i)', '(7+6i)'] -> (((4-7i) + (6+6i)) + ((7-5i) + (7+6i)))
[116564] ['(4-7i)', '(6+6i)', '(7-4i)', '(7+5i)'] -> (((4-7i) + (6+6i)) + ((7-4i) + (7+5i)))
[116568] ['(4-7i)', '(6+6i)', '(7-4i)', '(9-9i)'] -> ((6+6i) * (((4-7i) + (7-4i)) - (9-9i)))
[116580] ['(4-7i)', '(6+6i)', '(7-3i)', '(7+4i)'] -> (((4-7i) + (6+6i)) + ((7-3i) + (7+4i)))
[116586] ['(4-7i)', '(6+6i)', '(7-3i)', '(9-8i)'] -> (((1-9i) + (2+9i)) * ((9+3i) - (1+3i)))
[116593] ['(4-7i)', '(6+6i)', '(7-2i)', '(7+3i)'] -> (((4-7i) + (6+6i)) + ((7-2i) + (7+3i)))
[116606] ['(4-7i)', '(6+6i)', '(7-2i)', '(9-7i)'] -> ((5+3i) + ((1-i) * ((4-i) + (7+9i))))
[116611] ['(4-7i)', '(6+6i)', '(7-i)', '(7+2i)'] -> ((8+8i) * ((1-i) + ((4-i) / (5+3i))))
[116616] ['(4-7i)', '(6+6i)', '(7-i)', '(8-9i)'] -> (((4-7i) + (8-9i)) * ((6+6i) / (7-i)))
[116617] ['(4-7i)', '(6+6i)', '(7-i)', '8'] -> (8 * (((4-7i) + (6+6i)) - (7-i)))
[116622] ['(4-7i)', '(6+6i)', '(7-i)', '(9-6i)'] -> (((1-7i) + (3-5i)) * ((3+9i) / 5))
[116626] ['(4-7i)', '(6+6i)', '7', '(7+i)'] -> (((3-8i) - (3-6i)) * ((6+9i) - (6-3i)))
[116633] ['(4-7i)', '(6+6i)', '7', '(9-5i)'] -> ((6+6i) * (((4-7i) + 7) - (9-5i)))
[116645] ['(4-7i)', '(6+6i)', '(7+i)', '(9-4i)'] -> ((6+6i) * (((4-7i) + (7+i)) - (9-4i)))
[116658] ['(4-7i)', '(6+6i)', '(7+2i)', '(9-3i)'] -> (((3+i) * (9-8i)) - ((3-6i) + (8-9i)))
[116666] ['(4-7i)', '(6+6i)', '(7+3i)', '(9-2i)'] -> ((6+6i) * (((4-7i) + (7+3i)) - (9-2i)))
[116679] ['(4-7i)', '(6+6i)', '(7+4i)', '(9-i)'] -> ((6+6i) * (((4-7i) + (7+4i)) - (9-i)))
[116692] ['(4-7i)', '(6+6i)', '(7+5i)', '9'] -> ((6+6i) * (((4-7i) + (7+5i)) - 9))
[116702] ['(4-7i)', '(6+6i)', '(7+6i)', '(9+i)'] -> ((6+6i) * (((4-7i) + (7+6i)) - (9+i)))
[116707] ['(4-7i)', '(6+6i)', '(7+7i)', '(8-5i)'] -> (((4-7i) + (8-5i)) * ((7+7i) - (6+6i)))
[116715] ['(4-7i)', '(6+6i)', '(7+7i)', '(9+2i)'] -> ((3+3i) * ((3-8i) + (-4i + (1+8i))))
[116732] ['(4-7i)', '(6+6i)', '(7+8i)', '(9+3i)'] -> ((6+6i) * (((4-7i) + (7+8i)) - (9+3i)))
[116745] ['(4-7i)', '(6+6i)', '(7+9i)', '(9+4i)'] -> (((4-3i) + (4+3i)) + ((8-6i) + (8+6i)))
[116760] ['(4-7i)', '(6+6i)', '(8-8i)', '(8-7i)'] -> ((3-3i) * ((8-3i) + ((4+i) - (8-6i))))
[116893] ['(4-7i)', '(6+6i)', '(8+6i)', '(8+7i)'] -> (((1-i) - (7+5i)) * ((4-i) - (6-3i)))
[116925] ['(4-7i)', '(6+6i)', '(9-9i)', '(9+9i)'] -> (((4-7i) * ((9+9i) - (6+6i))) - (9-9i))
[116995] ['(4-7i)', '(6+7i)', '(6+7i)', '(8-7i)'] -> (((4-7i) + (6+7i)) + ((6+7i) + (8-7i)))
[117009] ['(4-7i)', '(6+7i)', '(6+8i)', '(8-8i)'] -> ((1-7i) - ((3-5i) * ((4+2i) - (5+6i))))
[117024] ['(4-7i)', '(6+7i)', '(6+9i)', '(8-9i)'] -> (((4-7i) + (6+7i)) + ((6+9i) + (8-9i)))
[117037] ['(4-7i)', '(6+7i)', '(7-9i)', '(7+9i)'] -> (((4-7i) + (6+7i)) + ((7-9i) + (7+9i)))
[117039] ['(4-7i)', '(6+7i)', '(7-9i)', '(8+9i)'] -> (((6+7i) * ((7-9i) - (4-7i))) - (8+9i))
[117047] ['(4-7i)', '(6+7i)', '(7-8i)', '(7+6i)'] -> (((1-9i) - (1+3i)) * ((3+5i) - (3+3i)))
[117048] ['(4-7i)', '(6+7i)', '(7-8i)', '(7+8i)'] -> (((4-7i) + (6+7i)) + ((7-8i) + (7+8i)))
[117077] ['(4-7i)', '(6+7i)', '(7-7i)', '(7+7i)'] -> (((1-i) * (6+6i)) + ((4-i) + (8+i)))
[117098] ['(4-7i)', '(6+7i)', '(7-6i)', '(7+6i)'] -> (((4-7i) + (6+7i)) + ((7-6i) + (7+6i)))
[117110] ['(4-7i)', '(6+7i)', '(7-5i)', '(7+5i)'] -> (((4-7i) + (6+7i)) + ((7-5i) + (7+5i)))
[117112] ['(4-7i)', '(6+7i)', '(7-5i)', '(8-3i)'] -> (((8-3i) * ((7-5i) - (4-7i))) - (6+7i))
[117121] ['(4-7i)', '(6+7i)', '(7-4i)', '(7+4i)'] -> (((4-7i) + (6+7i)) + ((7-4i) + (7+4i)))
[117132] ['(4-7i)', '(6+7i)', '(7-3i)', '(7+3i)'] -> (((4-7i) + (6+7i)) + ((7-3i) + (7+3i)))
[117143] ['(4-7i)', '(6+7i)', '(7-2i)', '7'] -> (((4-7i) * (6+7i)) - ((7-2i) * 7))
[117144] ['(4-7i)', '(6+7i)', '(7-2i)', '(7+2i)'] -> (((4-7i) + (6+7i)) + ((7-2i) + (7+2i)))
[117152] ['(4-7i)', '(6+7i)', '(7-i)', '(7+i)'] -> (((4-7i) + (6+7i)) + ((7-i) + (7+i)))
[117158] ['(4-7i)', '(6+7i)', '7', '7'] -> (((4-7i) + (6+7i)) + (7 + 7))
[117163] ['(4-7i)', '(6+7i)', '7', '8'] -> (8 * (((4-7i) + (6+7i)) - 7))
[117238] ['(4-7i)', '(6+7i)', '(7+8i)', '(8-5i)'] -> (((4-7i) + (8-5i)) * ((7+8i) - (6+7i)))
[117367] ['(4-7i)', '(6+7i)', '(8+7i)', '(8+7i)'] -> ((-i * (1+i)) + ((1+2i) * (5-9i)))
[117440] ['(4-7i)', '(6+8i)', '(6+8i)', '(8-9i)'] -> (((4-7i) + (6+8i)) + ((6+8i) + (8-9i)))
[117466] ['(4-7i)', '(6+8i)', '(7-9i)', '(7+8i)'] -> (((4-7i) + (6+8i)) + ((7-9i) + (7+8i)))
[117478] ['(4-7i)', '(6+8i)', '(7-8i)', '(7+7i)'] -> (((4-7i) + (6+8i)) + ((7-8i) + (7+7i)))
[117487] ['(4-7i)', '(6+8i)', '(7-7i)', '(7+6i)'] -> (((4-7i) + (6+8i)) + ((7-7i) + (7+6i)))
[117507] ['(4-7i)', '(6+8i)', '(7-6i)', '(7+5i)'] -> ((4+4i) + (4 * ((1-i) + 4)))
[117539] ['(4-7i)', '(6+8i)', '(7-5i)', '(7+4i)'] -> (((4-7i) + (6+8i)) + ((7-5i) + (7+4i)))
[117551] ['(4-7i)', '(6+8i)', '(7-4i)', '(7+3i)'] -> (((3-6i) - (3+2i)) * ((5-4i) - (5-7i)))
[117578] ['(4-7i)', '(6+8i)', '(7-3i)', '(7+2i)'] -> (((4-7i) + (6+8i)) + ((7-3i) + (7+2i)))
[117590] ['(4-7i)', '(6+8i)', '(7-2i)', '(7+i)'] -> (((4-7i) + (6+8i)) + ((7-2i) + (7+i)))
[117612] ['(4-7i)', '(6+8i)', '(7-i)', '7'] -> (((4-7i) + (6+8i)) + ((7-i) + 7))
[117638] ['(4-7i)', '(6+8i)', '(7+i)', '(8-5i)'] -> (((3-5i) * (3+5i)) - ((3-8i) + (7+8i)))
[117642] ['(4-7i)', '(6+8i)', '(7+i)', '8'] -> (8 * (((4-7i) + (6+8i)) - (7+i)))
[117729] ['(4-7i)', '(6+8i)', '(7+9i)', '(8-5i)'] -> (((4-7i) + (8-5i)) * ((7+9i) - (6+8i)))
[117866] ['(4-7i)', '(6+8i)', '(8+7i)', '(8+8i)'] -> (((4-7i) + (8+7i)) * ((8+8i) - (6+8i)))
[117950] ['(4-7i)', '(6+9i)', '(7-9i)', '(7+7i)'] -> (((4-7i) + (6+9i)) + ((7-9i) + (7+7i)))
[117963] ['(4-7i)', '(6+9i)', '(7-8i)', '(7+6i)'] -> (((4-7i) + (6+9i)) + ((7-8i) + (7+6i)))
[117972] ['(4-7i)', '(6+9i)', '(7-7i)', '(7+5i)'] -> (((4-7i) + (6+9i)) + ((7-7i) + (7+5i)))
[117990] ['(4-7i)', '(6+9i)', '(7-6i)', '(7+4i)'] -> (((1-i) - (5-i)) + (4 * 7))
[118004] ['(4-7i)', '(6+9i)', '(7-5i)', '(7+3i)'] -> (((4-7i) + (6+9i)) + ((7-5i) + (7+3i)))
[118021] ['(4-7i)', '(6+9i)', '(7-4i)', '(7+2i)'] -> (((4-7i) + (6+9i)) + ((7-4i) + (7+2i)))
[118037] ['(4-7i)', '(6+9i)', '(7-3i)', '(7+i)'] -> (((4-7i) + (6+9i)) + ((7-3i) + (7+i)))
[118046] ['(4-7i)', '(6+9i)', '(7-2i)', '7'] -> (((4-7i) + (6+9i)) + ((7-2i) + 7))
[118059] ['(4-7i)', '(6+9i)', '(7-i)', '(7-i)'] -> (((4-7i) + (6+9i)) + ((7-i) + (7-i)))
[118101] ['(4-7i)', '(6+9i)', '(7+2i)', '8'] -> (8 * (((4-7i) + (6+9i)) - (7+2i)))
[118191] ['(4-7i)', '(6+9i)', '(7+9i)', '(9+3i)'] -> ((8-8i) * ((4+2i) - ((9-6i) / (3-3i))))
[118204] ['(4-7i)', '(6+9i)', '(8-8i)', '(9-6i)'] -> (((6+9i) * (8-8i)) / ((9-6i) - (4-7i)))
[118319] ['(4-7i)', '(6+9i)', '(8+7i)', '(8+9i)'] -> (((4-7i) + (8+7i)) * ((8+9i) - (6+9i)))
[118391] ['(4-7i)', '(6+9i)', '(9+6i)', '(9+8i)'] -> (((3-8i) - (3-5i)) * ((5+4i) - (5-4i)))
[118521] ['(4-7i)', '(7-9i)', '(7+i)', '(7+5i)'] -> (((7+5i) * ((7-9i) - (4-7i))) - (7+i))
[118569] ['(4-7i)', '(7-9i)', '(7+6i)', '(9+4i)'] -> (((7+6i) * ((7-9i) - (4-7i))) - (9+4i))
[118608] ['(4-7i)', '(7-9i)', '(8-8i)', '(8-5i)'] -> ((-i + (3-2i)) * ((1+i) + (3+3i)))
[118636] ['(4-7i)', '(7-9i)', '(8-5i)', '(8+9i)'] -> (((4-7i) * ((8-5i) - (7-9i))) - (8+9i))
[118643] ['(4-7i)', '(7-9i)', '(8-4i)', '(8+4i)'] -> (((1+i) * (4-4i)) * ((3-i) - -i))
[118680] ['(4-7i)', '(7-9i)', '8', '(9-6i)'] -> ((8 * (9-6i)) / ((7-9i) - (4-7i)))
[118753] ['(4-7i)', '(7-9i)', '(8+7i)', '(9-9i)'] -> (((4-7i) + (8+7i)) * ((9-9i) - (7-9i)))
[118778] ['(4-7i)', '(7-9i)', '(9-9i)', '(9+3i)'] -> (((9+3i) * ((7-9i) - (4-7i))) - (9-9i))
[118791] ['(4-7i)', '(7-9i)', '(9-6i)', '(9+i)'] -> (((7-9i) + (9+i)) / ((4-7i) / (9-6i)))
[119038] ['(4-7i)', '(7-8i)', '(7+3i)', '(9+4i)'] -> (((9+4i) * ((7-8i) - (4-7i))) - (7+3i))
[119149] ['(4-7i)', '(7-8i)', '(8-7i)', '(8-5i)'] -> (((4-7i) + (8-5i)) * ((8-7i) - (7-8i)))
[119179] ['(4-7i)', '(7-8i)', '(8-4i)', '(8+9i)'] -> ((-9i + -3i) + (3i * (4-8i)))
[119213] ['(4-7i)', '(7-8i)', '8', '(9-3i)'] -> ((8 * (9-3i)) / ((7-8i) - (4-7i)))
[119262] ['(4-7i)', '(7-8i)', '(8+6i)', '(9+5i)'] -> (((9+5i) * ((7-8i) - (4-7i))) - (8+6i))
[119271] ['(4-7i)', '(7-8i)', '(8+7i)', '(9-8i)'] -> ((9+5i) + ((8+i) / ((5-i) / (8-6i))))
[119305] ['(4-7i)', '(7-8i)', '(9-6i)', '9'] -> (((7-8i) + 9) / ((4-7i) / (9-6i)))
[119345] ['(4-7i)', '(7-8i)', '(9+6i)', '(9+9i)'] -> (((9+6i) * ((7-8i) - (4-7i))) - (9+9i))
[119617] ['(4-7i)', '(7-7i)', '(8-6i)', '(8-5i)'] -> (((4-7i) + (8-5i)) * ((8-6i) - (7-7i)))
[119647] ['(4-7i)', '(7-7i)', '(8-3i)', '(8+9i)'] -> ((5-7i) - ((5+4i) * ((4-3i) - (7-4i))))
[119671] ['(4-7i)', '(7-7i)', '8', '8'] -> (((7-7i) * 8) - ((4-7i) * 8))
[119679] ['(4-7i)', '(7-7i)', '8', '9'] -> ((8 * 9) / ((7-7i) - (4-7i)))
[119719] ['(4-7i)', '(7-7i)', '(8+7i)', '(9-7i)'] -> (((4-7i) + (8+7i)) * ((9-7i) - (7-7i)))
[119754] ['(4-7i)', '(7-7i)', '(9-6i)', '(9-i)'] -> (((7-7i) + (9-i)) / ((4-7i) / (9-6i)))
[119827] ['(4-7i)', '(7-6i)', '(7-5i)', '(9-4i)'] -> (((7-6i) * ((7-5i) - (4-7i))) - (9-4i))
[119861] ['(4-7i)', '(7-6i)', '(7-3i)', '(9-4i)'] -> (((9-4i) * ((7-6i) - (4-7i))) - (7-3i))
[120109] ['(4-7i)', '(7-6i)', '(8-6i)', '(9-5i)'] -> (((9-5i) * ((7-6i) - (4-7i))) - (8-6i))
[120114] ['(4-7i)', '(7-6i)', '(8-5i)', '(8-5i)'] -> (-9i * ((1+2i) + ((2+3i) / -3i)))
[120154] ['(4-7i)', '(7-6i)', '(8-2i)', '(8+9i)'] -> (((4-7i) * ((8-2i) - (7-6i))) - (8+9i))
[120185] ['(4-7i)', '(7-6i)', '8', '(9+3i)'] -> ((8 * (9+3i)) / ((7-6i) - (4-7i)))
[120242] ['(4-7i)', '(7-6i)', '(8+7i)', '(9-6i)'] -> (((4-7i) + (8+7i)) * ((9-6i) - (7-6i)))
[120260] ['(4-7i)', '(7-6i)', '(9-9i)', '(9-6i)'] -> (((9-6i) * ((7-6i) - (4-7i))) - (9-9i))
[120274] ['(4-7i)', '(7-6i)', '(9-6i)', '(9-2i)'] -> ((-i + (9+4i)) + ((1+i) * (6-9i)))
[120325] ['(4-7i)', '(7-5i)', '(7-5i)', '(7-i)'] -> (((7-5i) * ((7-5i) - (4-7i))) - (7-i))
[120354] ['(4-7i)', '(7-5i)', '(7-3i)', '(8-6i)'] -> (((7-3i) * ((8-6i) - (4-7i))) - (7-5i))
[120568] ['(4-7i)', '(7-5i)', '(8-5i)', '(8-4i)'] -> (((4-7i) + (8-5i)) * ((8-4i) - (7-5i)))
[120584] ['(4-7i)', '(7-5i)', '(8-4i)', '(8+4i)'] -> (((8-4i) * ((7-5i) - (4-7i))) - (8+4i))
[120605] ['(4-7i)', '(7-5i)', '(8-i)', '(8+9i)'] -> (((4-7i) * ((8-i) - (7-5i))) - (8+9i))
[120618] ['(4-7i)', '(7-5i)', '8', '(9+6i)'] -> ((6-6i) * ((6+7i) + ((2-5i) - 6)))
[120674] ['(4-7i)', '(7-5i)', '(8+7i)', '(9-5i)'] -> (((4-7i) + (8+7i)) * ((9-5i) - (7-5i)))
[120698] ['(4-7i)', '(7-5i)', '(9-6i)', '(9-3i)'] -> (((7-5i) + (9-3i)) / ((4-7i) / (9-6i)))
[120719] ['(4-7i)', '(7-5i)', '(9-3i)', '(9+9i)'] -> (((9-3i) * ((7-5i) - (4-7i))) - (9+9i))
[120764] ['(4-7i)', '(7-4i)', '(7-4i)', '(9+9i)'] -> (((7-4i) * ((7-4i) - (4-7i))) - (9+9i))
[120818] ['(4-7i)', '(7-4i)', '(7+i)', '(7+7i)'] -> (((3-6i) + (3+3i)) + ((9-3i) + (9+6i)))
[120955] ['(4-7i)', '(7-4i)', '(8-9i)', '(8-6i)'] -> (((7-4i) * ((8-6i) - (4-7i))) - (8-9i))
[121007] ['(4-7i)', '(7-4i)', '(8-5i)', '(8-3i)'] -> (((4-7i) + (8-5i)) * ((8-3i) - (7-4i)))
[121060] ['(4-7i)', '(7-4i)', '8', '(8+9i)'] -> (((4-7i) * (8 - (7-4i))) - (8+9i))
[121064] ['(4-7i)', '(7-4i)', '8', '(9+9i)'] -> ((8 * (9+9i)) / ((7-4i) - (4-7i)))
[121116] ['(4-7i)', '(7-4i)', '(8+7i)', '(9-4i)'] -> (((4-7i) + (8+7i)) * ((9-4i) - (7-4i)))
[121129] ['(4-7i)', '(7-4i)', '(8+8i)', '9'] -> (((5+9i) * ((3-6i) - (1-4i))) - (4+8i))
[121155] ['(4-7i)', '(7-4i)', '(9-6i)', '(9-4i)'] -> (((7-4i) + (9-4i)) / ((4-7i) / (9-6i)))
[121402] ['(4-7i)', '(7-3i)', '(8-5i)', '(8-2i)'] -> (((4-7i) + (8-5i)) * ((8-2i) - (7-3i)))
[121459] ['(4-7i)', '(7-3i)', '(8+i)', '(8+9i)'] -> (((4-7i) * ((8+i) - (7-3i))) - (8+9i))
[121510] ['(4-7i)', '(7-3i)', '(8+7i)', '(9-3i)'] -> ((-9i * (8+8i)) / ((3-6i) - -3i))
[121547] ['(4-7i)', '(7-3i)', '(9-6i)', '(9-5i)'] -> (((7-3i) + (9-5i)) / ((4-7i) / (9-6i)))
[121809] ['(4-7i)', '(7-2i)', '(8-9i)', '8'] -> (8 * (((4-7i) + (7-2i)) - (8-9i)))
[121861] ['(4-7i)', '(7-2i)', '(8-5i)', '(8-i)'] -> (((4-7i) + (8-5i)) * ((8-i) - (7-2i)))
[121864] ['(4-7i)', '(7-2i)', '(8-5i)', '(8+6i)'] -> (((7-2i) * ((8-5i) - (4-7i))) - (8+6i))
[121869] ['(4-7i)', '(7-2i)', '(8-5i)', '(9+5i)'] -> (((4-7i) + (8-5i)) / ((7-2i) / (9+5i)))
[121941] ['(4-7i)', '(7-2i)', '(8+2i)', '(8+9i)'] -> ((-9i + -3i) * ((3+6i) - (3+4i)))
[121991] ['(4-7i)', '(7-2i)', '(8+7i)', '(9-2i)'] -> (((4-7i) + (8+7i)) * ((9-2i) - (7-2i)))
[122020] ['(4-7i)', '(7-2i)', '(9-6i)', '(9-6i)'] -> (((7-2i) + (9-6i)) / ((4-7i) / (9-6i)))
[122216] ['(4-7i)', '(7-i)', '(8-8i)', '8'] -> (((3-3i) + (9-9i)) * ((5+6i) - (4+5i)))
[122244] ['(4-7i)', '(7-i)', '(8-5i)', '8'] -> (((4-7i) + (8-5i)) * (8 - (7-i)))
[122246] ['(4-7i)', '(7-i)', '(8-5i)', '(8+6i)'] -> (((4-7i) + (8-5i)) / ((7-i) / (8+6i)))
[122317] ['(4-7i)', '(7-i)', '(8+3i)', '(8+9i)'] -> (((4-7i) * ((8+3i) - (7-i))) - (8+9i))
[122350] ['(4-7i)', '(7-i)', '(8+7i)', '(9-i)'] -> (((4-7i) + (8+7i)) * ((9-i) - (7-i)))
[122377] ['(4-7i)', '(7-i)', '(9-7i)', '(9-6i)'] -> (((7-i) + (9-7i)) / ((4-7i) / (9-6i)))
[122514] ['(4-7i)', '7', '(7+7i)', '(8-5i)'] -> (((2-8i) + (6+8i)) * ((6-9i) - (3-9i)))
[122557] ['(4-7i)', '7', '(8-8i)', '8'] -> ((7 * (8-8i)) - ((4-7i) * 8))
[122569] ['(4-7i)', '7', '(8-7i)', '8'] -> (8 * (((4-7i) + 7) - (8-7i)))
[122585] ['(4-7i)', '7', '(8-5i)', '(8+i)'] -> (((4+4i) * (9-9i)) / (-9i / -3i))
[122656] ['(4-7i)', '7', '(8+4i)', '(8+9i)'] -> (((4-7i) * ((8+4i) - 7)) - (8+9i))
[122679] ['(4-7i)', '7', '(8+7i)', '9'] -> (((4-7i) + (8+7i)) * (9 - 7))
[122696] ['(4-7i)', '7', '(9-8i)', '(9-6i)'] -> ((7 + (9-8i)) / ((4-7i) / (9-6i)))
[122888] ['(4-7i)', '(7+i)', '(8-6i)', '8'] -> ((1-i) * (((4+3i) * (5+i)) - (5+7i)))
[122896] ['(4-7i)', '(7+i)', '(8-5i)', '(8+2i)'] -> (((4-7i) + (8-5i)) * ((8+2i) - (7+i)))
[122923] ['(4-7i)', '(7+i)', '(8-2i)', '(8+8i)'] -> (((4-7i) + (8-2i)) / ((7+i) / (8+8i)))
[122976] ['(4-7i)', '(7+i)', '(8+5i)', '(8+9i)'] -> (((4-7i) * ((8+5i) - (7+i))) - (8+9i))
[122992] ['(4-7i)', '(7+i)', '(8+7i)', '(9+i)'] -> ((-9i + -3i) * ((5+3i) - (5+i)))
[123003] ['(4-7i)', '(7+i)', '(9-9i)', '(9-6i)'] -> (((7+i) + (9-9i)) / ((4-7i) / (9-6i)))
[123148] ['(4-7i)', '(7+2i)', '(8-9i)', '(8-6i)'] -> (((7+2i) * ((8-9i) - (4-7i))) - (8-6i))
[123189] ['(4-7i)', '(7+2i)', '(8-5i)', '8'] -> (((2-9i) + (6+i)) - (-4i * (2-4i)))
[123191] ['(4-7i)', '(7+2i)', '(8-5i)', '(8+3i)'] -> (((4-7i) + (8-5i)) * ((8+3i) - (7+2i)))
[123264] ['(4-7i)', '(7+2i)', '(8+6i)', '(8+9i)'] -> (((4-7i) * ((8+6i) - (7+2i))) - (8+9i))
[123275] ['(4-7i)', '(7+2i)', '(8+7i)', '(9+2i)'] -> (((4-7i) + (8+7i)) * ((9+2i) - (7+2i)))
[123390] ['(4-7i)', '(7+3i)', '(7+5i)', '(8-8i)'] -> (((7+3i) * ((8-8i) - (4-7i))) - (7+5i))
[123402] ['(4-7i)', '(7+3i)', '(7+5i)', '(9-8i)'] -> ((6+6i) * ((9-3i) - ((1-i) * (4+3i))))
[123501] ['(4-7i)', '(7+3i)', '(8-5i)', '(8+4i)'] -> (((4-7i) + (8-5i)) * ((8+4i) - (7+3i)))
[123511] ['(4-7i)', '(7+3i)', '(8-4i)', '8'] -> (8 * (((4-7i) + (7+3i)) - (8-4i)))
[123599] ['(4-7i)', '(7+3i)', '(8+7i)', '(8+9i)'] -> (((4-7i) * ((8+7i) - (7+3i))) - (8+9i))
[123602] ['(4-7i)', '(7+3i)', '(8+7i)', '(9+3i)'] -> ((7 - (4+3i)) / ((1-i) / 8))
[123760] ['(4-7i)', '(7+4i)', '(8-8i)', '(8+9i)'] -> (((7+4i) * ((8-8i) - (4-7i))) - (8+9i))
[123784] ['(4-7i)', '(7+4i)', '(8-5i)', '(8+5i)'] -> (((4-7i) + (8-5i)) * ((8+5i) - (7+4i)))
[123801] ['(4-7i)', '(7+4i)', '(8-3i)', '8'] -> (((4-3i) + (5-4i)) + ((6+i) + (9+6i)))
[123892] ['(4-7i)', '(7+4i)', '(8+7i)', '(9+4i)'] -> (((4-7i) + (8+7i)) * ((9+4i) - (7+4i)))
[123893] ['(4-7i)', '(7+4i)', '(8+8i)', '(8+9i)'] -> (((4-7i) * ((8+8i) - (7+4i))) - (8+9i))
[124112] ['(4-7i)', '(7+5i)', '(8-5i)', '(8+6i)'] -> (((4-7i) + (8-5i)) * ((8+6i) - (7+5i)))
[124145] ['(4-7i)', '(7+5i)', '(8-2i)', '8'] -> (((5-9i) - (5-3i)) / ((1-i) / (4+4i)))
[124223] ['(4-7i)', '(7+5i)', '(8+7i)', '(9+5i)'] -> (((4-7i) + (8+7i)) * ((9+5i) - (7+5i)))
[124231] ['(4-7i)', '(7+5i)', '(8+9i)', '(8+9i)'] -> (((4-7i) * ((8+9i) - (7+5i))) - (8+9i))
[124411] ['(4-7i)', '(7+6i)', '(8-5i)', '(8+7i)'] -> (((4-7i) + (8-5i)) * ((8+7i) - (7+6i)))
[124442] ['(4-7i)', '(7+6i)', '(8-i)', '8'] -> (8 * (((4-7i) + (7+6i)) - (8-i)))
[124514] ['(4-7i)', '(7+6i)', '(8+7i)', '(9+6i)'] -> (((4-7i) + (8+7i)) * ((9+6i) - (7+6i)))
[124659] ['(4-7i)', '(7+7i)', '(8-5i)', '(8+8i)'] -> (((4-7i) + (8-5i)) * ((8+8i) - (7+7i)))
[124695] ['(4-7i)', '(7+7i)', '8', '8'] -> (((2-9i) + (4+9i)) * ((4-4i) - -4i))
[124743] ['(4-7i)', '(7+7i)', '(8+7i)', '(9+7i)'] -> (((4-7i) + (8+7i)) * ((9+7i) - (7+7i)))
[124871] ['(4-7i)', '(7+8i)', '(8-5i)', '(8+9i)'] -> ((4+4i) + ((1-i) * ((6+3i) + (6+5i))))
[124914] ['(4-7i)', '(7+8i)', '8', '(8+i)'] -> (8 * (((4-7i) + (7+8i)) - (8+i)))
[124973] ['(4-7i)', '(7+8i)', '(8+7i)', '(9+8i)'] -> (((4-7i) + (8+7i)) * ((9+8i) - (7+8i)))
[125077] ['(4-7i)', '(7+9i)', '(8-5i)', '(8+i)'] -> (-i * ((1+3i) + ((1+5i) * (4+i))))
[125136] ['(4-7i)', '(7+9i)', '8', '(8+2i)'] -> ((4+4i) * ((9-2i) + ((1-i) - 7)))
[125201] ['(4-7i)', '(7+9i)', '(8+7i)', '(9+9i)'] -> (((4-7i) + (8+7i)) * ((9+9i) - (7+9i)))
[125283] ['(4-7i)', '(8-9i)', '(8-8i)', '(9+3i)'] -> (((8-8i) * (9+3i)) / ((8-9i) - (4-7i)))
[125307] ['(4-7i)', '(8-9i)', '(8-5i)', '(9-8i)'] -> (((4-7i) + (8-5i)) * ((9-8i) - (8-9i)))
[125374] ['(4-7i)', '(8-9i)', '(8+i)', '(9-6i)'] -> (((8-9i) + (8+i)) / ((4-7i) / (9-6i)))
[125428] ['(4-7i)', '(8-9i)', '(8+9i)', '(9-5i)'] -> (((4-7i) * ((9-5i) - (8-9i))) - (8+9i))
[125455] ['(4-7i)', '(8-9i)', '(9-6i)', '(9+6i)'] -> ((9+6i) + ((9-6i) / ((4-7i) / (8-9i))))
[125491] ['(4-7i)', '(8-8i)', '(8-8i)', '8'] -> ((8 * ((8-8i) - (4-7i))) - (8-8i))
[125507] ['(4-7i)', '(8-8i)', '(8-7i)', '(8-2i)'] -> (((8-2i) * ((8-7i) - (4-7i))) - (8-8i))
[125526] ['(4-7i)', '(8-8i)', '(8-5i)', '(9-7i)'] -> (((4-7i) + (8-5i)) * ((9-7i) - (8-8i)))
[125569] ['(4-7i)', '(8-8i)', '8', '(9-6i)'] -> (((8-8i) + 8) / ((4-7i) / (9-6i)))
[125576] ['(4-7i)', '(8-8i)', '(8+i)', '(9-4i)'] -> (((8+i) * ((8-8i) - (4-7i))) - (9-4i))
